
/tmp/picpac-phase3-final-build-ad1a3b405704/iphoneos/Build/Products/Release-iphoneos/PicPacPoe.app/PicPacPoe:	file format mach-o arm64

Sections:
Idx Name             Size     VMA              Type
  0 __text           00090f4c 0000000100004000 TEXT
  1 __stubs          000019a4 0000000100094f4c TEXT
  2 __objc_stubs     00000360 0000000100096900 TEXT
  3 __init_offsets   00000004 0000000100096c60 DATA
  4 __const          000075d8 0000000100096c70 DATA
  5 __constg_swiftt  00001bb0 000000010009e248 DATA
  6 __swift5_typeref 0000ed90 000000010009fdf8 DATA
  7 __swift5_entry   00000008 00000001000aeb88 DATA
  8 __swift5_fieldmd 00001da0 00000001000aeb90 DATA
  9 __swift5_reflstr 00001066 00000001000b0930 DATA
 10 __swift5_assocty 000004e0 00000001000b1998 DATA
 11 __cstring        00002292 00000001000b1e80 DATA
 12 __swift5_capture 000006a8 00000001000b4114 DATA
 13 __swift5_builtin 000000dc 00000001000b47bc DATA
 14 __swift5_proto   00000540 00000001000b4898 DATA
 15 __swift5_types   0000021c 00000001000b4dd8 DATA
 16 __swift_as_entry 00000154 00000001000b4ff4 DATA
 17 __swift_as_ret   0000016c 00000001000b5148 DATA
 18 __objc_classname 000003de 00000001000b52c0 DATA
 19 __objc_methname  0000060e 00000001000b56a0 DATA
 20 __objc_methtype  00000001 00000001000b5cae DATA
 21 __swift5_protos  00000018 00000001000b5cb0 DATA
 22 __swift5_mpenum  0000003c 00000001000b5cc8 DATA
 23 __unwind_info    00002538 00000001000b5d04 DATA
 24 __eh_frame       000040c8 00000001000b8240 DATA
 25 __oslogstring    00000085 00000001000c0000 DATA
 26 __got            00001ba8 00000001000c4000 DATA
 27 __const          00004d30 00000001000c5ba8 DATA
 28 __objc_classlist 00000090 00000001000ca8d8 DATA
 29 __objc_imageinfo 00000008 00000001000ca968 DATA
 30 __objc_const     00001368 00000001000cc000 DATA
 31 __objc_selrefs   000000d8 00000001000cd368 DATA
 32 __objc_classrefs 00000040 00000001000cd440 DATA
 33 __objc_data      000000f0 00000001000cd480 DATA
 34 __data           00004b64 00000001000cd570 DATA
 35 __llvm_prf_cnts  00002f80 00000001000d4000 DATA
 36 __llvm_prf_data  0000ae00 00000001000d8000 DATA
 37 __llvm_prf_names 00005fe7 00000001000e2e00 DATA
 38 __llvm_prf_bits  00000000 00000001000ec000 DATA
 39 __llvm_prf_vnds  00000000 00000001000ec000 DATA
 40 __llvm_prf_vns   00000000 00000001000ec000 DATA
 41 __llvm_prf_vtab  00000000 00000001000ec000 DATA
 42 __bss            0000c698 00000001000ec000 BSS
 43 __common         00000048 00000001000f8698 BSS
 44 __llvm_covfun    000093b6 00000001000fc000 DATA
 45 __llvm_covmap    00000f4c 00000001001053b8 DATA
